epoch[0] train_loss: 0.046704 	val_loss: 0.036094
epoch[1] train_loss: 0.046669 	val_loss: 0.036127
epoch[2] train_loss: 0.046510 	val_loss: 0.035712
epoch[3] train_loss: 0.046487 	val_loss: 0.035364
epoch[4] train_loss: 0.046301 	val_loss: 0.035472
epoch[5] train_loss: 0.046214 	val_loss: 0.035479
epoch[6] train_loss: 0.046218 	val_loss: 0.035296
epoch[7] train_loss: 0.045362 	val_loss: 0.032366
epoch[8] train_loss: 0.038554 	val_loss: 0.025578
epoch[9] train_loss: 0.026702 	val_loss: 0.018804
epoch[10] train_loss: 0.020658 	val_loss: 0.018099
epoch[11] train_loss: 0.020469 	val_loss: 0.017405
epoch[12] train_loss: 0.019812 	val_loss: 0.016873
epoch[13] train_loss: 0.019076 	val_loss: 0.016402
epoch[14] train_loss: 0.019029 	val_loss: 0.016062
epoch[15] train_loss: 0.019005 	val_loss: 0.015786
epoch[16] train_loss: 0.019384 	val_loss: 0.014523
epoch[17] train_loss: 0.017927 	val_loss: 0.014312
epoch[18] train_loss: 0.016901 	val_loss: 0.013645
epoch[19] train_loss: 0.016388 	val_loss: 0.013143
epoch[20] train_loss: 0.015990 	val_loss: 0.013791
epoch[21] train_loss: 0.016477 	val_loss: 0.013502
epoch[22] train_loss: 0.016223 	val_loss: 0.012997
epoch[23] train_loss: 0.015687 	val_loss: 0.012663
epoch[24] train_loss: 0.015507 	val_loss: 0.012681
epoch[25] train_loss: 0.015442 	val_loss: 0.012622
epoch[26] train_loss: 0.015442 	val_loss: 0.013526
epoch[27] train_loss: 0.015505 	val_loss: 0.012391
epoch[28] train_loss: 0.015102 	val_loss: 0.012653
epoch[29] train_loss: 0.014751 	val_loss: 0.012409
epoch[30] train_loss: 0.014501 	val_loss: 0.012305
epoch[31] train_loss: 0.014218 	val_loss: 0.012251
epoch[32] train_loss: 0.013975 	val_loss: 0.012238
epoch[33] train_loss: 0.013844 	val_loss: 0.012117
epoch[34] train_loss: 0.013708 	val_loss: 0.011953
epoch[35] train_loss: 0.013531 	val_loss: 0.011811
epoch[36] train_loss: 0.013447 	val_loss: 0.011893
epoch[37] train_loss: 0.013256 	val_loss: 0.011679
epoch[38] train_loss: 0.013226 	val_loss: 0.011644
epoch[39] train_loss: 0.013184 	val_loss: 0.011766
epoch[40] train_loss: 0.013438 	val_loss: 0.011637
epoch[41] train_loss: 0.013642 	val_loss: 0.012055
epoch[42] train_loss: 0.013811 	val_loss: 0.012140
epoch[43] train_loss: 0.013567 	val_loss: 0.011999
epoch[44] train_loss: 0.013388 	val_loss: 0.011905
epoch[45] train_loss: 0.013284 	val_loss: 0.011689
epoch[46] train_loss: 0.013134 	val_loss: 0.011698
epoch[47] train_loss: 0.013046 	val_loss: 0.011722
epoch[48] train_loss: 0.013083 	val_loss: 0.011722
epoch[49] train_loss: 0.013012 	val_loss: 0.011934
epoch[50] train_loss: 0.013487 	val_loss: 0.010984
epoch[51] train_loss: 0.013040 	val_loss: 0.010565
epoch[52] train_loss: 0.012092 	val_loss: 0.009828
epoch[53] train_loss: 0.011462 	val_loss: 0.009062
epoch[54] train_loss: 0.010891 	val_loss: 0.009485
epoch[55] train_loss: 0.010915 	val_loss: 0.009000
epoch[56] train_loss: 0.010823 	val_loss: 0.008822
epoch[57] train_loss: 0.010541 	val_loss: 0.008566
epoch[58] train_loss: 0.010680 	val_loss: 0.008755
epoch[59] train_loss: 0.010596 	val_loss: 0.008740
epoch[60] train_loss: 0.010344 	val_loss: 0.008634
epoch[61] train_loss: 0.010251 	val_loss: 0.008540
epoch[62] train_loss: 0.010159 	val_loss: 0.008629
epoch[63] train_loss: 0.010033 	val_loss: 0.008266
epoch[64] train_loss: 0.010157 	val_loss: 0.008472
epoch[65] train_loss: 0.010395 	val_loss: 0.008414
epoch[66] train_loss: 0.010142 	val_loss: 0.008233
