dataset is hard_mitbih
X shape:torch.Size([400, 208]), y shape:torch.Size([400])
/home/smjo/xai_timeseries/vqvae/dataload.py:59: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class0_data = torch.tensor(torch.load(class0_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:60: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class1_data = torch.tensor(torch.load(class0_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:61: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class0_label = torch.tensor(torch.load(class0_label_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class1_label = torch.tensor(torch.load(class1_label_pth))
epoch[0] train_loss: 0.046704 	val_loss: 0.036094
epoch[1] train_loss: 0.046669 	val_loss: 0.036127
epoch[2] train_loss: 0.046510 	val_loss: 0.035712
epoch[3] train_loss: 0.046487 	val_loss: 0.035364
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[4] train_loss: 0.046301 	val_loss: 0.035472
epoch[5] train_loss: 0.046214 	val_loss: 0.035479
epoch[6] train_loss: 0.046218 	val_loss: 0.035296
epoch[7] train_loss: 0.045362 	val_loss: 0.032366
epoch[8] train_loss: 0.038554 	val_loss: 0.025578
epoch[9] train_loss: 0.026702 	val_loss: 0.018804
epoch[10] train_loss: 0.020658 	val_loss: 0.018099
epoch[11] train_loss: 0.020468 	val_loss: 0.017405
epoch[12] train_loss: 0.019812 	val_loss: 0.016872
epoch[13] train_loss: 0.019075 	val_loss: 0.016402
epoch[14] train_loss: 0.019029 	val_loss: 0.016047
epoch[15] train_loss: 0.019001 	val_loss: 0.015728
epoch[16] train_loss: 0.019388 	val_loss: 0.014435
epoch[17] train_loss: 0.017939 	val_loss: 0.014243
epoch[18] train_loss: 0.016852 	val_loss: 0.013551
epoch[19] train_loss: 0.016367 	val_loss: 0.013152
epoch[20] train_loss: 0.016015 	val_loss: 0.013730
epoch[21] train_loss: 0.016470 	val_loss: 0.013525
epoch[22] train_loss: 0.016206 	val_loss: 0.013065
epoch[23] train_loss: 0.015686 	val_loss: 0.012643
epoch[24] train_loss: 0.015494 	val_loss: 0.012652
epoch[25] train_loss: 0.015480 	val_loss: 0.012538
epoch[26] train_loss: 0.015261 	val_loss: 0.013634
epoch[27] train_loss: 0.015431 	val_loss: 0.012308
epoch[28] train_loss: 0.014949 	val_loss: 0.012802
epoch[29] train_loss: 0.014687 	val_loss: 0.012315
epoch[30] train_loss: 0.014426 	val_loss: 0.012125
epoch[31] train_loss: 0.014249 	val_loss: 0.012522
epoch[32] train_loss: 0.014079 	val_loss: 0.012157
epoch[33] train_loss: 0.013845 	val_loss: 0.012026
epoch[34] train_loss: 0.013677 	val_loss: 0.012012
epoch[35] train_loss: 0.013595 	val_loss: 0.011864
epoch[36] train_loss: 0.013564 	val_loss: 0.012102
epoch[37] train_loss: 0.013337 	val_loss: 0.011716
epoch[38] train_loss: 0.013273 	val_loss: 0.011581
epoch[39] train_loss: 0.013199 	val_loss: 0.011749
epoch[40] train_loss: 0.013441 	val_loss: 0.011624
epoch[41] train_loss: 0.013465 	val_loss: 0.011879
epoch[42] train_loss: 0.013813 	val_loss: 0.012114
epoch[43] train_loss: 0.013658 	val_loss: 0.012200
epoch[44] train_loss: 0.013526 	val_loss: 0.012123
epoch[45] train_loss: 0.013370 	val_loss: 0.011540
