dataset is hard_mitbih
X shape:torch.Size([400, 208]), y shape:torch.Size([400])
/home/smjo/xai_timeseries/vqvae/dataload.py:59: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class0_data = torch.tensor(torch.load(class0_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:60: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class1_data = torch.tensor(torch.load(class0_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:61: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class0_label = torch.tensor(torch.load(class0_label_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class1_label = torch.tensor(torch.load(class1_label_pth))
epoch[0] train_loss: 0.060109 	val_loss: 0.040587
epoch[1] train_loss: 0.052528 	val_loss: 0.036601
epoch[2] train_loss: 0.048206 	val_loss: 0.035522
epoch[3] train_loss: 0.046786 	val_loss: 0.037976
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[4] train_loss: 0.047185 	val_loss: 0.036482
epoch[5] train_loss: 0.046386 	val_loss: 0.035269
epoch[6] train_loss: 0.046218 	val_loss: 0.033761
epoch[7] train_loss: 0.041373 	val_loss: 0.029156
epoch[8] train_loss: 0.032045 	val_loss: 0.020534
epoch[9] train_loss: 0.022516 	val_loss: 0.018804
epoch[10] train_loss: 0.019558 	val_loss: 0.016649
epoch[11] train_loss: 0.017735 	val_loss: 0.015818
epoch[12] train_loss: 0.016829 	val_loss: 0.014770
epoch[13] train_loss: 0.015564 	val_loss: 0.013513
epoch[14] train_loss: 0.014374 	val_loss: 0.012147
epoch[15] train_loss: 0.013713 	val_loss: 0.012031
epoch[16] train_loss: 0.013467 	val_loss: 0.011926
epoch[17] train_loss: 0.013153 	val_loss: 0.011603
epoch[18] train_loss: 0.012880 	val_loss: 0.011635
epoch[19] train_loss: 0.012752 	val_loss: 0.011239
epoch[20] train_loss: 0.012434 	val_loss: 0.011071
epoch[21] train_loss: 0.012051 	val_loss: 0.010785
epoch[22] train_loss: 0.011416 	val_loss: 0.009762
epoch[23] train_loss: 0.010386 	val_loss: 0.008809
epoch[24] train_loss: 0.009278 	val_loss: 0.007672
epoch[25] train_loss: 0.008882 	val_loss: 0.007233
epoch[26] train_loss: 0.008560 	val_loss: 0.006919
epoch[27] train_loss: 0.008216 	val_loss: 0.006927
epoch[28] train_loss: 0.008068 	val_loss: 0.006816
epoch[29] train_loss: 0.007973 	val_loss: 0.006701
epoch[30] train_loss: 0.007838 	val_loss: 0.006703
epoch[31] train_loss: 0.007824 	val_loss: 0.006627
epoch[32] train_loss: 0.007893 	val_loss: 0.006554
epoch[33] train_loss: 0.007793 	val_loss: 0.006579
epoch[34] train_loss: 0.007653 	val_loss: 0.006450
epoch[35] train_loss: 0.007586 	val_loss: 0.006677
epoch[36] train_loss: 0.007674 	val_loss: 0.006624
epoch[37] train_loss: 0.007510 	val_loss: 0.006219
epoch[38] train_loss: 0.007238 	val_loss: 0.006105
epoch[39] train_loss: 0.007205 	val_loss: 0.006169
epoch[40] train_loss: 0.007091 	val_loss: 0.006216
epoch[41] train_loss: 0.007056 	val_loss: 0.005976
epoch[42] train_loss: 0.006945 	val_loss: 0.005824
epoch[43] train_loss: 0.006770 	val_loss: 0.005900
epoch[44] train_loss: 0.006735 	val_loss: 0.005937
epoch[45] train_loss: 0.006643 	val_loss: 0.006001
epoch[46] train_loss: 0.006730 	val_loss: 0.005844
epoch[47] train_loss: 0.006624 	val_loss: 0.005810
epoch[48] train_loss: 0.006601 	val_loss: 0.005845
epoch[49] train_loss: 0.006532 	val_loss: 0.005624
epoch[50] train_loss: 0.006466 	val_loss: 0.005673
epoch[51] train_loss: 0.006414 	val_loss: 0.005526
epoch[52] train_loss: 0.006391 	val_loss: 0.005533
