dataset is hard_mitbih
X shape:torch.Size([400, 208]), y shape:torch.Size([400])
/home/smjo/xai_timeseries/vqvae/dataload.py:59: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class0_data = torch.tensor(torch.load(class0_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:60: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class1_data = torch.tensor(torch.load(class0_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:61: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class0_label = torch.tensor(torch.load(class0_label_pth))
/home/smjo/xai_timeseries/vqvae/dataload.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  class1_label = torch.tensor(torch.load(class1_label_pth))
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[0] train_loss: 0.085052 	val_loss: 0.057124
epoch[1] train_loss: 0.068119 	val_loss: 0.043324
epoch[2] train_loss: 0.053008 	val_loss: 0.036764
epoch[3] train_loss: 0.049692 	val_loss: 0.039915
epoch[4] train_loss: 0.045808 	val_loss: 0.033941
epoch[5] train_loss: 0.044932 	val_loss: 0.033426
epoch[6] train_loss: 0.043739 	val_loss: 0.034905
epoch[7] train_loss: 0.040245 	val_loss: 0.026752
epoch[8] train_loss: 0.030336 	val_loss: 0.021830
epoch[9] train_loss: 0.020901 	val_loss: 0.013424
epoch[10] train_loss: 0.014366 	val_loss: 0.012393
epoch[11] train_loss: 0.013849 	val_loss: 0.012981
epoch[12] train_loss: 0.013846 	val_loss: 0.012266
epoch[13] train_loss: 0.012738 	val_loss: 0.010938
epoch[14] train_loss: 0.011589 	val_loss: 0.010051
epoch[15] train_loss: 0.010612 	val_loss: 0.009076
epoch[16] train_loss: 0.009292 	val_loss: 0.007747
epoch[17] train_loss: 0.008167 	val_loss: 0.007331
epoch[18] train_loss: 0.007915 	val_loss: 0.006899
epoch[19] train_loss: 0.007471 	val_loss: 0.006473
epoch[20] train_loss: 0.007231 	val_loss: 0.006304
epoch[21] train_loss: 0.007038 	val_loss: 0.006160
epoch[22] train_loss: 0.006870 	val_loss: 0.005928
epoch[23] train_loss: 0.006657 	val_loss: 0.005786
epoch[24] train_loss: 0.006498 	val_loss: 0.005607
epoch[25] train_loss: 0.006312 	val_loss: 0.005388
epoch[26] train_loss: 0.006080 	val_loss: 0.005150
epoch[27] train_loss: 0.005835 	val_loss: 0.004961
epoch[28] train_loss: 0.005510 	val_loss: 0.004651
epoch[29] train_loss: 0.005022 	val_loss: 0.004173
epoch[30] train_loss: 0.004435 	val_loss: 0.003702
epoch[31] train_loss: 0.003979 	val_loss: 0.003487
epoch[32] train_loss: 0.003749 	val_loss: 0.003278
epoch[33] train_loss: 0.003538 	val_loss: 0.003033
epoch[34] train_loss: 0.003305 	val_loss: 0.002796
epoch[35] train_loss: 0.003078 	val_loss: 0.002661
epoch[36] train_loss: 0.002890 	val_loss: 0.002500
epoch[37] train_loss: 0.002730 	val_loss: 0.002344
epoch[38] train_loss: 0.002593 	val_loss: 0.002270
epoch[39] train_loss: 0.002518 	val_loss: 0.002234
epoch[40] train_loss: 0.002444 	val_loss: 0.002098
epoch[41] train_loss: 0.002366 	val_loss: 0.001982
epoch[42] train_loss: 0.002265 	val_loss: 0.001945
epoch[43] train_loss: 0.002201 	val_loss: 0.001946
epoch[44] train_loss: 0.002137 	val_loss: 0.001916
epoch[45] train_loss: 0.002126 	val_loss: 0.001842
epoch[46] train_loss: 0.002060 	val_loss: 0.001756
epoch[47] train_loss: 0.002020 	val_loss: 0.001746
epoch[48] train_loss: 0.001957 	val_loss: 0.001677
epoch[49] train_loss: 0.001911 	val_loss: 0.001711
epoch[50] train_loss: 0.001918 	val_loss: 0.001607
epoch[51] train_loss: 0.001880 	val_loss: 0.001662
epoch[52] train_loss: 0.001934 	val_loss: 0.001588
epoch[53] train_loss: 0.001847 	val_loss: 0.001657
epoch[54] train_loss: 0.001850 	val_loss: 0.001628
epoch[55] train_loss: 0.001781 	val_loss: 0.001547
epoch[56] train_loss: 0.001739 	val_loss: 0.001482
epoch[57] train_loss: 0.001682 	val_loss: 0.001473
epoch[58] train_loss: 0.001636 	val_loss: 0.001374
epoch[59] train_loss: 0.001600 	val_loss: 0.001353
epoch[60] train_loss: 0.001568 	val_loss: 0.001335
epoch[61] train_loss: 0.001527 	val_loss: 0.001360
epoch[62] train_loss: 0.001528 	val_loss: 0.001336
epoch[63] train_loss: 0.001510 	val_loss: 0.001285
epoch[64] train_loss: 0.001482 	val_loss: 0.001281
epoch[65] train_loss: 0.001457 	val_loss: 0.001249
epoch[66] train_loss: 0.001465 	val_loss: 0.001259
epoch[67] train_loss: 0.001449 	val_loss: 0.001204
epoch[68] train_loss: 0.001409 	val_loss: 0.001194
epoch[69] train_loss: 0.001387 	val_loss: 0.001280
epoch[70] train_loss: 0.001386 	val_loss: 0.001158
epoch[71] train_loss: 0.001381 	val_loss: 0.001221
epoch[72] train_loss: 0.001383 	val_loss: 0.001169
