dataset is peak
X shape:torch.Size([1420, 208]), y shape:torch.Size([1420])
epoch[0] train_loss: 4.625440 	val_loss: 4.435136
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[1] train_loss: 3.301377 	val_loss: 2.316727
epoch[2] train_loss: 1.699933 	val_loss: 1.166564
epoch[3] train_loss: 1.220655 	val_loss: 1.022491
epoch[4] train_loss: 1.053181 	val_loss: 0.977806
epoch[5] train_loss: 1.005171 	val_loss: 0.959019
epoch[6] train_loss: 0.994965 	val_loss: 0.953192
epoch[7] train_loss: 0.989337 	val_loss: 0.943192
epoch[8] train_loss: 0.984711 	val_loss: 0.956898
epoch[9] train_loss: 0.981557 	val_loss: 0.944344
epoch[10] train_loss: 0.960368 	val_loss: 0.873828
epoch[11] train_loss: 0.947982 	val_loss: 0.766174
epoch[12] train_loss: 0.784740 	val_loss: 0.692739
epoch[13] train_loss: 0.728026 	val_loss: 0.621322
epoch[14] train_loss: 0.622468 	val_loss: 0.612329
epoch[15] train_loss: 0.582522 	val_loss: 0.549229
epoch[16] train_loss: 0.549051 	val_loss: 0.531962
epoch[17] train_loss: 0.523784 	val_loss: 0.518892
epoch[18] train_loss: 0.500998 	val_loss: 0.505186
epoch[19] train_loss: 0.475988 	val_loss: 0.460668
epoch[20] train_loss: 0.451666 	val_loss: 0.410027
epoch[21] train_loss: 0.417633 	val_loss: 0.379147
epoch[22] train_loss: 0.404794 	val_loss: 0.390033
epoch[23] train_loss: 0.395691 	val_loss: 0.394241
epoch[24] train_loss: 0.387694 	val_loss: 0.383630
epoch[25] train_loss: 0.380645 	val_loss: 0.365204
epoch[26] train_loss: 0.364340 	val_loss: 0.356571
epoch[27] train_loss: 0.355958 	val_loss: 0.380506
epoch[28] train_loss: 0.379051 	val_loss: 0.345861
epoch[29] train_loss: 0.346269 	val_loss: 0.337248
epoch[30] train_loss: 0.342175 	val_loss: 0.369304
epoch[31] train_loss: 0.342614 	val_loss: 0.333794
epoch[32] train_loss: 0.330738 	val_loss: 0.330159
epoch[33] train_loss: 0.323976 	val_loss: 0.326229
epoch[34] train_loss: 0.316199 	val_loss: 0.333520
epoch[35] train_loss: 0.315310 	val_loss: 0.355588
epoch[36] train_loss: 0.310314 	val_loss: 0.322612
epoch[37] train_loss: 0.310247 	val_loss: 0.322200
epoch[38] train_loss: 0.303225 	val_loss: 0.304936
epoch[39] train_loss: 0.309868 	val_loss: 0.305602
epoch[40] train_loss: 0.294848 	val_loss: 0.304223
epoch[41] train_loss: 0.294351 	val_loss: 0.301458
epoch[42] train_loss: 0.293575 	val_loss: 0.290183
epoch[43] train_loss: 0.293622 	val_loss: 0.289988
epoch[44] train_loss: 0.295742 	val_loss: 0.288822
epoch[45] train_loss: 0.289255 	val_loss: 0.311976
epoch[46] train_loss: 0.279126 	val_loss: 0.288803
epoch[47] train_loss: 0.278540 	val_loss: 0.279016
epoch[48] train_loss: 0.286709 	val_loss: 0.290938
epoch[49] train_loss: 0.277212 	val_loss: 0.264981
epoch[50] train_loss: 0.276269 	val_loss: 0.265815
epoch[51] train_loss: 0.271129 	val_loss: 0.263968
