dataset is peak
X shape:torch.Size([1420, 208]), y shape:torch.Size([1420])
epoch[0] train_loss: 4.594530 	val_loss: 4.228680
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[1] train_loss: 2.753392 	val_loss: 1.207146
epoch[2] train_loss: 0.970504 	val_loss: 0.780885
epoch[3] train_loss: 0.786187 	val_loss: 0.709986
epoch[4] train_loss: 0.678570 	val_loss: 0.542524
epoch[5] train_loss: 0.430408 	val_loss: 0.302173
epoch[6] train_loss: 0.268207 	val_loss: 0.212462
epoch[7] train_loss: 0.211399 	val_loss: 0.169831
epoch[8] train_loss: 0.174846 	val_loss: 0.149200
epoch[9] train_loss: 0.160986 	val_loss: 0.138392
epoch[10] train_loss: 0.149285 	val_loss: 0.129282
epoch[11] train_loss: 0.140939 	val_loss: 0.131809
epoch[12] train_loss: 0.136720 	val_loss: 0.122672
epoch[13] train_loss: 0.132007 	val_loss: 0.117762
epoch[14] train_loss: 0.129562 	val_loss: 0.120670
epoch[15] train_loss: 0.129169 	val_loss: 0.114666
epoch[16] train_loss: 0.125303 	val_loss: 0.111491
epoch[17] train_loss: 0.122901 	val_loss: 0.113593
epoch[18] train_loss: 0.122544 	val_loss: 0.114151
epoch[19] train_loss: 0.123340 	val_loss: 0.114388
epoch[20] train_loss: 0.122088 	val_loss: 0.110483
epoch[21] train_loss: 0.119426 	val_loss: 0.112918
epoch[22] train_loss: 0.119256 	val_loss: 0.109648
epoch[23] train_loss: 0.117604 	val_loss: 0.106721
epoch[24] train_loss: 0.115979 	val_loss: 0.106587
epoch[25] train_loss: 0.114499 	val_loss: 0.109179
epoch[26] train_loss: 0.114302 	val_loss: 0.106578
epoch[27] train_loss: 0.112575 	val_loss: 0.105741
epoch[28] train_loss: 0.111774 	val_loss: 0.105500
epoch[29] train_loss: 0.111022 	val_loss: 0.102840
epoch[30] train_loss: 0.108793 	val_loss: 0.097639
epoch[31] train_loss: 0.106841 	val_loss: 0.098940
epoch[32] train_loss: 0.106653 	val_loss: 0.100216
epoch[33] train_loss: 0.106816 	val_loss: 0.093214
epoch[34] train_loss: 0.101754 	val_loss: 0.095083
epoch[35] train_loss: 0.099994 	val_loss: 0.093496
epoch[36] train_loss: 0.098796 	val_loss: 0.090712
epoch[37] train_loss: 0.099820 	val_loss: 0.086364
epoch[38] train_loss: 0.094699 	val_loss: 0.089152
epoch[39] train_loss: 0.092251 	val_loss: 0.081078
epoch[40] train_loss: 0.092850 	val_loss: 0.086940
epoch[41] train_loss: 0.091400 	val_loss: 0.085332
epoch[42] train_loss: 0.091128 	val_loss: 0.081179
epoch[43] train_loss: 0.088920 	val_loss: 0.083170
epoch[44] train_loss: 0.091384 	val_loss: 0.085771
epoch[45] train_loss: 0.090200 	val_loss: 0.082571
