dataset is peak
X shape:torch.Size([1420, 208]), y shape:torch.Size([1420])
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[0] train_loss: 4.593565 	val_loss: 4.101694
epoch[1] train_loss: 2.335550 	val_loss: 1.008079
epoch[2] train_loss: 0.875042 	val_loss: 0.688751
epoch[3] train_loss: 0.573437 	val_loss: 0.318075
epoch[4] train_loss: 0.250738 	val_loss: 0.172148
epoch[5] train_loss: 0.166377 	val_loss: 0.135604
epoch[6] train_loss: 0.139530 	val_loss: 0.115752
epoch[7] train_loss: 0.124144 	val_loss: 0.107552
epoch[8] train_loss: 0.117728 	val_loss: 0.103243
epoch[9] train_loss: 0.114090 	val_loss: 0.100442
epoch[10] train_loss: 0.111809 	val_loss: 0.099353
epoch[11] train_loss: 0.109185 	val_loss: 0.096475
epoch[12] train_loss: 0.106353 	val_loss: 0.095475
epoch[13] train_loss: 0.101978 	val_loss: 0.089835
epoch[14] train_loss: 0.093185 	val_loss: 0.083138
epoch[15] train_loss: 0.084113 	val_loss: 0.073300
epoch[16] train_loss: 0.075423 	val_loss: 0.066284
epoch[17] train_loss: 0.067323 	val_loss: 0.059073
epoch[18] train_loss: 0.061981 	val_loss: 0.054899
epoch[19] train_loss: 0.057787 	val_loss: 0.052204
epoch[20] train_loss: 0.055361 	val_loss: 0.049219
epoch[21] train_loss: 0.053153 	val_loss: 0.047772
epoch[22] train_loss: 0.051622 	val_loss: 0.045603
epoch[23] train_loss: 0.050316 	val_loss: 0.045117
epoch[24] train_loss: 0.049299 	val_loss: 0.044040
epoch[25] train_loss: 0.047880 	val_loss: 0.041861
epoch[26] train_loss: 0.046545 	val_loss: 0.041685
epoch[27] train_loss: 0.045924 	val_loss: 0.042915
epoch[28] train_loss: 0.046169 	val_loss: 0.040518
epoch[29] train_loss: 0.044511 	val_loss: 0.039906
epoch[30] train_loss: 0.043147 	val_loss: 0.038293
epoch[31] train_loss: 0.042535 	val_loss: 0.038972
epoch[32] train_loss: 0.042815 	val_loss: 0.036854
epoch[33] train_loss: 0.042690 	val_loss: 0.039879
epoch[34] train_loss: 0.040507 	val_loss: 0.037040
epoch[35] train_loss: 0.039135 	val_loss: 0.037027
epoch[36] train_loss: 0.038715 	val_loss: 0.034557
epoch[37] train_loss: 0.036692 	val_loss: 0.032852
epoch[38] train_loss: 0.034608 	val_loss: 0.032863
epoch[39] train_loss: 0.033423 	val_loss: 0.033290
epoch[40] train_loss: 0.032621 	val_loss: 0.029687
epoch[41] train_loss: 0.031039 	val_loss: 0.030452
epoch[42] train_loss: 0.029750 	val_loss: 0.027778
epoch[43] train_loss: 0.028918 	val_loss: 0.028253
epoch[44] train_loss: 0.027885 	val_loss: 0.024531
epoch[45] train_loss: 0.028259 	val_loss: 0.024315
epoch[46] train_loss: 0.025923 	val_loss: 0.023399
epoch[47] train_loss: 0.024882 	val_loss: 0.023763
epoch[48] train_loss: 0.023810 	val_loss: 0.024010
epoch[49] train_loss: 0.022561 	val_loss: 0.020349
epoch[50] train_loss: 0.022660 	val_loss: 0.020607
epoch[51] train_loss: 0.021011 	val_loss: 0.018046
epoch[52] train_loss: 0.020246 	val_loss: 0.020669
epoch[53] train_loss: 0.019682 	val_loss: 0.016797
epoch[54] train_loss: 0.017549 	val_loss: 0.015146
epoch[55] train_loss: 0.017242 	val_loss: 0.015764
epoch[56] train_loss: 0.018439 	val_loss: 0.015256
epoch[57] train_loss: 0.017634 	val_loss: 0.016894
epoch[58] train_loss: 0.018849 	val_loss: 0.019516
epoch[59] train_loss: 0.020450 	val_loss: 0.016826
epoch[60] train_loss: 0.018029 	val_loss: 0.015935
epoch[61] train_loss: 0.016869 	val_loss: 0.019763
epoch[62] train_loss: 0.016289 	val_loss: 0.014332
epoch[63] train_loss: 0.015286 	val_loss: 0.014213
epoch[64] train_loss: 0.015138 	val_loss: 0.015071
epoch[65] train_loss: 0.015617 	val_loss: 0.014567
epoch[66] train_loss: 0.014422 	val_loss: 0.014296
epoch[67] train_loss: 0.014574 	val_loss: 0.016448
epoch[68] train_loss: 0.015995 	val_loss: 0.012899
epoch[69] train_loss: 0.014050 	val_loss: 0.012993
epoch[70] train_loss: 0.013402 	val_loss: 0.012725
epoch[71] train_loss: 0.013345 	val_loss: 0.012945
epoch[72] train_loss: 0.013474 	val_loss: 0.013242
epoch[73] train_loss: 0.014104 	val_loss: 0.012112
epoch[74] train_loss: 0.012928 	val_loss: 0.013153
epoch[75] train_loss: 0.012602 	val_loss: 0.011786
epoch[76] train_loss: 0.013419 	val_loss: 0.012816
epoch[77] train_loss: 0.013687 	val_loss: 0.011897
epoch[78] train_loss: 0.012960 	val_loss: 0.013916
epoch[79] train_loss: 0.013690 	val_loss: 0.013364
epoch[80] train_loss: 0.012970 	val_loss: 0.015885
epoch[81] train_loss: 0.014527 	val_loss: 0.019941
epoch[82] train_loss: 0.017399 	val_loss: 0.016918
epoch[83] train_loss: 0.015433 	val_loss: 0.012735
epoch[84] train_loss: 0.012387 	val_loss: 0.012015
epoch[85] train_loss: 0.011836 	val_loss: 0.011744
epoch[86] train_loss: 0.011385 	val_loss: 0.011367
epoch[87] train_loss: 0.011222 	val_loss: 0.010641
epoch[88] train_loss: 0.011004 	val_loss: 0.011394
epoch[89] train_loss: 0.010946 	val_loss: 0.011251
epoch[90] train_loss: 0.011161 	val_loss: 0.011206
epoch[91] train_loss: 0.011260 	val_loss: 0.010785
epoch[92] train_loss: 0.011324 	val_loss: 0.012526
epoch[93] train_loss: 0.011082 	val_loss: 0.011128
epoch[94] train_loss: 0.011133 	val_loss: 0.010878
epoch[95] train_loss: 0.011627 	val_loss: 0.011556
epoch[96] train_loss: 0.011670 	val_loss: 0.011856
epoch[97] train_loss: 0.011432 	val_loss: 0.012411
epoch[98] train_loss: 0.012117 	val_loss: 0.011676
epoch[99] train_loss: 0.011668 	val_loss: 0.011941
epoch[100] train_loss: 0.010502 	val_loss: 0.011214
epoch[101] train_loss: 0.011032 	val_loss: 0.010407
epoch[102] train_loss: 0.012282 	val_loss: 0.011548
epoch[103] train_loss: 0.012133 	val_loss: 0.009643
epoch[104] train_loss: 0.010730 	val_loss: 0.010685
epoch[105] train_loss: 0.010499 	val_loss: 0.010331
epoch[106] train_loss: 0.010223 	val_loss: 0.009847
epoch[107] train_loss: 0.010529 	val_loss: 0.011609
epoch[108] train_loss: 0.010238 	val_loss: 0.011043
epoch[109] train_loss: 0.010510 	val_loss: 0.010598
epoch[110] train_loss: 0.010041 	val_loss: 0.009866
epoch[111] train_loss: 0.010053 	val_loss: 0.009721
epoch[112] train_loss: 0.010539 	val_loss: 0.010448
epoch[113] train_loss: 0.010374 	val_loss: 0.008869
epoch[114] train_loss: 0.010311 	val_loss: 0.013388
epoch[115] train_loss: 0.010273 	val_loss: 0.009151
epoch[116] train_loss: 0.009808 	val_loss: 0.009038
epoch[117] train_loss: 0.009927 	val_loss: 0.010691
epoch[118] train_loss: 0.010536 	val_loss: 0.009270
epoch[119] train_loss: 0.010989 	val_loss: 0.010528
epoch[120] train_loss: 0.010345 	val_loss: 0.010871
epoch[121] train_loss: 0.010773 	val_loss: 0.010967
epoch[122] train_loss: 0.017066 	val_loss: 0.019925
epoch[123] train_loss: 0.013980 	val_loss: 0.011358
epoch[124] train_loss: 0.011046 	val_loss: 0.010008
epoch[125] train_loss: 0.010557 	val_loss: 0.009833
epoch[126] train_loss: 0.010191 	val_loss: 0.010604
epoch[127] train_loss: 0.010598 	val_loss: 0.010737
epoch[128] train_loss: 0.009660 	val_loss: 0.009634
epoch[129] train_loss: 0.009687 	val_loss: 0.010240
