dataset is peak
X shape:torch.Size([1420, 208]), y shape:torch.Size([1420])
epoch[0] train_loss: 4.601565 	val_loss: 4.234214
epoch[1] train_loss: 2.680880 	val_loss: 1.451127
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
epoch[2] train_loss: 0.943278 	val_loss: 0.657683
epoch[3] train_loss: 0.543330 	val_loss: 0.317032
epoch[4] train_loss: 0.256996 	val_loss: 0.179532
epoch[5] train_loss: 0.169035 	val_loss: 0.134688
epoch[6] train_loss: 0.137246 	val_loss: 0.113962
epoch[7] train_loss: 0.123394 	val_loss: 0.107287
epoch[8] train_loss: 0.117012 	val_loss: 0.106166
epoch[9] train_loss: 0.113197 	val_loss: 0.101426
epoch[10] train_loss: 0.109783 	val_loss: 0.098580
epoch[11] train_loss: 0.106602 	val_loss: 0.096219
epoch[12] train_loss: 0.104632 	val_loss: 0.093826
epoch[13] train_loss: 0.101508 	val_loss: 0.093929
epoch[14] train_loss: 0.098347 	val_loss: 0.087496
epoch[15] train_loss: 0.092250 	val_loss: 0.081168
epoch[16] train_loss: 0.083160 	val_loss: 0.070345
epoch[17] train_loss: 0.069098 	val_loss: 0.058510
epoch[18] train_loss: 0.057937 	val_loss: 0.049905
epoch[19] train_loss: 0.051849 	val_loss: 0.046039
epoch[20] train_loss: 0.048662 	val_loss: 0.045415
epoch[21] train_loss: 0.046423 	val_loss: 0.043089
epoch[22] train_loss: 0.044196 	val_loss: 0.041570
epoch[23] train_loss: 0.042349 	val_loss: 0.039498
epoch[24] train_loss: 0.041076 	val_loss: 0.038497
epoch[25] train_loss: 0.039657 	val_loss: 0.036948
epoch[26] train_loss: 0.038608 	val_loss: 0.035958
epoch[27] train_loss: 0.036723 	val_loss: 0.034334
epoch[28] train_loss: 0.035294 	val_loss: 0.032715
epoch[29] train_loss: 0.033669 	val_loss: 0.031799
epoch[30] train_loss: 0.032534 	val_loss: 0.033454
epoch[31] train_loss: 0.031876 	val_loss: 0.028595
epoch[32] train_loss: 0.030167 	val_loss: 0.026898
epoch[33] train_loss: 0.029267 	val_loss: 0.028746
epoch[34] train_loss: 0.028131 	val_loss: 0.025039
epoch[35] train_loss: 0.025144 	val_loss: 0.022507
epoch[36] train_loss: 0.023980 	val_loss: 0.023634
epoch[37] train_loss: 0.022634 	val_loss: 0.019890
epoch[38] train_loss: 0.020586 	val_loss: 0.019056
epoch[39] train_loss: 0.019164 	val_loss: 0.017351
epoch[40] train_loss: 0.018290 	val_loss: 0.016873
epoch[41] train_loss: 0.016935 	val_loss: 0.015242
epoch[42] train_loss: 0.016269 	val_loss: 0.016188
epoch[43] train_loss: 0.015357 	val_loss: 0.013806
epoch[44] train_loss: 0.014834 	val_loss: 0.013529
epoch[45] train_loss: 0.013611 	val_loss: 0.012473
epoch[46] train_loss: 0.012052 	val_loss: 0.011855
epoch[47] train_loss: 0.011488 	val_loss: 0.010830
epoch[48] train_loss: 0.011197 	val_loss: 0.011075
epoch[49] train_loss: 0.010483 	val_loss: 0.010276
epoch[50] train_loss: 0.010259 	val_loss: 0.009581
epoch[51] train_loss: 0.010254 	val_loss: 0.009740
epoch[52] train_loss: 0.009495 	val_loss: 0.009552
epoch[53] train_loss: 0.008947 	val_loss: 0.008706
epoch[54] train_loss: 0.008620 	val_loss: 0.008298
epoch[55] train_loss: 0.008830 	val_loss: 0.009215
epoch[56] train_loss: 0.008920 	val_loss: 0.007708
epoch[57] train_loss: 0.008142 	val_loss: 0.007673
epoch[58] train_loss: 0.007643 	val_loss: 0.006914
epoch[59] train_loss: 0.007689 	val_loss: 0.007243
epoch[60] train_loss: 0.007427 	val_loss: 0.006670
epoch[61] train_loss: 0.007482 	val_loss: 0.007110
epoch[62] train_loss: 0.007484 	val_loss: 0.007022
epoch[63] train_loss: 0.007685 	val_loss: 0.008406
epoch[64] train_loss: 0.007336 	val_loss: 0.006269
epoch[65] train_loss: 0.007003 	val_loss: 0.006822
epoch[66] train_loss: 0.009699 	val_loss: 0.016280
epoch[67] train_loss: 0.010311 	val_loss: 0.008831
epoch[68] train_loss: 0.008082 	val_loss: 0.007364
epoch[69] train_loss: 0.007067 	val_loss: 0.006765
epoch[70] train_loss: 0.006421 	val_loss: 0.006172
epoch[71] train_loss: 0.006551 	val_loss: 0.005994
epoch[72] train_loss: 0.006526 	val_loss: 0.005434
epoch[73] train_loss: 0.006034 	val_loss: 0.005592
epoch[74] train_loss: 0.005680 	val_loss: 0.005481
epoch[75] train_loss: 0.005497 	val_loss: 0.005194
epoch[76] train_loss: 0.005558 	val_loss: 0.006347
epoch[77] train_loss: 0.006026 	val_loss: 0.006675
epoch[78] train_loss: 0.006870 	val_loss: 0.005393
epoch[79] train_loss: 0.005956 	val_loss: 0.005129
epoch[80] train_loss: 0.005597 	val_loss: 0.005556
epoch[81] train_loss: 0.006547 	val_loss: 0.005812
epoch[82] train_loss: 0.005399 	val_loss: 0.004957
epoch[83] train_loss: 0.005067 	val_loss: 0.004891
epoch[84] train_loss: 0.004975 	val_loss: 0.004794
epoch[85] train_loss: 0.005285 	val_loss: 0.006353
epoch[86] train_loss: 0.006378 	val_loss: 0.007002
epoch[87] train_loss: 0.007448 	val_loss: 0.005702
epoch[88] train_loss: 0.007320 	val_loss: 0.007773
epoch[89] train_loss: 0.006676 	val_loss: 0.010307
epoch[90] train_loss: 0.008583 	val_loss: 0.006600
epoch[91] train_loss: 0.007994 	val_loss: 0.005315
epoch[92] train_loss: 0.006184 	val_loss: 0.006078
epoch[93] train_loss: 0.006288 	val_loss: 0.005537
epoch[94] train_loss: 0.006137 	val_loss: 0.005680
epoch[95] train_loss: 0.005232 	val_loss: 0.004388
epoch[96] train_loss: 0.004864 	val_loss: 0.004487
epoch[97] train_loss: 0.004641 	val_loss: 0.004327
epoch[98] train_loss: 0.004393 	val_loss: 0.004255
epoch[99] train_loss: 0.004391 	val_loss: 0.004247
epoch[100] train_loss: 0.004453 	val_loss: 0.004531
epoch[101] train_loss: 0.004496 	val_loss: 0.004312
epoch[102] train_loss: 0.004332 	val_loss: 0.004229
epoch[103] train_loss: 0.004486 	val_loss: 0.004396
epoch[104] train_loss: 0.004667 	val_loss: 0.004116
epoch[105] train_loss: 0.004362 	val_loss: 0.004817
epoch[106] train_loss: 0.004573 	val_loss: 0.004344
epoch[107] train_loss: 0.004267 	val_loss: 0.004325
epoch[108] train_loss: 0.004293 	val_loss: 0.004124
epoch[109] train_loss: 0.004279 	val_loss: 0.003985
epoch[110] train_loss: 0.004128 	val_loss: 0.004163
epoch[111] train_loss: 0.004519 	val_loss: 0.004300
epoch[112] train_loss: 0.005319 	val_loss: 0.006341
epoch[113] train_loss: 0.004785 	val_loss: 0.003892
epoch[114] train_loss: 0.004306 	val_loss: 0.004386
epoch[115] train_loss: 0.004778 	val_loss: 0.005571
epoch[116] train_loss: 0.005248 	val_loss: 0.003854
epoch[117] train_loss: 0.004355 	val_loss: 0.004670
epoch[118] train_loss: 0.006360 	val_loss: 0.004220
epoch[119] train_loss: 0.004903 	val_loss: 0.003858
epoch[120] train_loss: 0.004053 	val_loss: 0.003818
epoch[121] train_loss: 0.003873 	val_loss: 0.004093
epoch[122] train_loss: 0.003900 	val_loss: 0.004302
epoch[123] train_loss: 0.003679 	val_loss: 0.003758
epoch[124] train_loss: 0.003931 	val_loss: 0.003833
epoch[125] train_loss: 0.004923 	val_loss: 0.006240
epoch[126] train_loss: 0.007480 	val_loss: 0.006795
epoch[127] train_loss: 0.005836 	val_loss: 0.003958
epoch[128] train_loss: 0.004010 	val_loss: 0.003442
epoch[129] train_loss: 0.003685 	val_loss: 0.004046
epoch[130] train_loss: 0.003549 	val_loss: 0.003122
epoch[131] train_loss: 0.003288 	val_loss: 0.003672
epoch[132] train_loss: 0.003501 	val_loss: 0.003008
epoch[133] train_loss: 0.003523 	val_loss: 0.003442
epoch[134] train_loss: 0.003393 	val_loss: 0.003609
epoch[135] train_loss: 0.003585 	val_loss: 0.003773
epoch[136] train_loss: 0.003698 	val_loss: 0.004472
epoch[137] train_loss: 0.003805 	val_loss: 0.003552
epoch[138] train_loss: 0.003464 	val_loss: 0.003047
epoch[139] train_loss: 0.003707 	val_loss: 0.003586
epoch[140] train_loss: 0.004704 	val_loss: 0.007487
epoch[141] train_loss: 0.006716 	val_loss: 0.017045
epoch[142] train_loss: 0.006782 	val_loss: 0.003698
epoch[143] train_loss: 0.003404 	val_loss: 0.003120
epoch[144] train_loss: 0.003127 	val_loss: 0.003123
epoch[145] train_loss: 0.002913 	val_loss: 0.003006
epoch[146] train_loss: 0.002872 	val_loss: 0.002763
epoch[147] train_loss: 0.002896 	val_loss: 0.003213
epoch[148] train_loss: 0.002977 	val_loss: 0.002871
epoch[149] train_loss: 0.002836 	val_loss: 0.003092
epoch[150] train_loss: 0.003122 	val_loss: 0.003279
epoch[151] train_loss: 0.002968 	val_loss: 0.003014
epoch[152] train_loss: 0.002984 	val_loss: 0.003452
epoch[153] train_loss: 0.003466 	val_loss: 0.003137
epoch[154] train_loss: 0.003200 	val_loss: 0.003165
epoch[155] train_loss: 0.003851 	val_loss: 0.006678
epoch[156] train_loss: 0.005519 	val_loss: 0.005221
epoch[157] train_loss: 0.004321 	val_loss: 0.003742
epoch[158] train_loss: 0.003079 	val_loss: 0.003203
epoch[159] train_loss: 0.003452 	val_loss: 0.004485
epoch[160] train_loss: 0.003323 	val_loss: 0.003122
epoch[161] train_loss: 0.003366 	val_loss: 0.003711
epoch[162] train_loss: 0.003730 	val_loss: 0.006426
epoch[163] train_loss: 0.006284 	val_loss: 0.007740
epoch[164] train_loss: 0.005862 	val_loss: 0.004222
epoch[165] train_loss: 0.004092 	val_loss: 0.003462
epoch[166] train_loss: 0.003653 	val_loss: 0.003595
epoch[167] train_loss: 0.003087 	val_loss: 0.002868
epoch[168] train_loss: 0.002804 	val_loss: 0.002964
epoch[169] train_loss: 0.002799 	val_loss: 0.002704
epoch[170] train_loss: 0.002761 	val_loss: 0.003236
epoch[171] train_loss: 0.002784 	val_loss: 0.002567
epoch[172] train_loss: 0.002744 	val_loss: 0.002967
epoch[173] train_loss: 0.002939 	val_loss: 0.003358
epoch[174] train_loss: 0.003460 	val_loss: 0.004025
epoch[175] train_loss: 0.004736 	val_loss: 0.006163
epoch[176] train_loss: 0.007215 	val_loss: 0.007187
epoch[177] train_loss: 0.022872 	val_loss: 0.025034
epoch[178] train_loss: 0.028640 	val_loss: 0.026833
epoch[179] train_loss: 0.011173 	val_loss: 0.008099
